CATEGORIA,CÓDIGO,CNPJ,DESCRIMINAÇÃO,SALDO
ACAO,31,17.344.597/0001-94,40 COTAS AÇÕES - BB SEGURIDADE PARTICIPAÇÕES S.A. - BBSE3,"1190,8"
ACAO,31,00.000.000/0001-91,30 COTAS AÇÕES - BCO BRASIL S.A. - BBAS3,"1167,6"
ACAO,31,73.178.600/0001-18,20 COTAS AÇÕES - CYRELA BRAZIL REALTY S.A.EMPREEND E PART - CYRE3,"585,6"
ACAO,31,02.474.103/0001-19,30 COTAS AÇÕES - ENGIE BRASIL ENERGIA S.A. - EGIE3,"1326,3"
ACAO,31,60.840.055/0001-31,20 COTAS AÇÕES - FLEURY S.A. - FLRY3,"544,2"
ACAO,31,02.932.074/0001-91,20 COTAS AÇÕES - HYPERA S.A. - HYPE3,"684,6"
ACAO,31,61.532.644/0001-15,200 COTAS AÇÕES - ITAUSA INVESTIMENTOS ITAU S.A. - ITSA4,"2356,0"
ACAO,31,76.535.764/0001-43,300 COTAS AÇÕES - OI S.A. - OIBR3,"654,0"
ACAO,31,76.535.764/0001-43,200 COTAS AÇÕES - OI S.A. - OIBR4,"562,0"
ACAO,31,07.859.971/0001-30,30 COTAS AÇÕES - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. - TAEE11,"1001,7"
ACAO,31,33.041.260/0652-90,60 COTAS AÇÕES - VIA VAREJO S.A. - VVAR3,"982,8"
FII,73,11.026.627/0001-38,10 COTAS FUNDO IMOBILIÁRIO - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS - BCFF11,"927,4"
FII,73,97.521.225/0001-25,60 COTAS FUNDO IMOBILIÁRIO - MAXI RENDA FDO INV IMOB - FII - MXRF11,"627,6"
